,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
177,AAPL220121C00900000,2020-08-28 19:26:55,900.0,18.13,17.35,18.4,0.02999878,0.1657391,5.0,,3.129518777770996,False,REGULAR,USD,2022-01-21
178,AAPL220121C01000000,2020-08-28 19:59:43,1000.0,13.33,13.25,14.05,-0.22000027,-1.6236182,426.0,,3.0207544012451173,False,REGULAR,USD,2022-01-21
179,AAPL220121P00165000,2021-11-19 20:54:14,165.0,8.9,8.6,8.9,-1.8000002,-16.822432,1218.0,5398.0,0.24048611083984373,True,REGULAR,USD,2022-01-21
180,AAPL220121P00170000,2021-11-19 20:55:53,170.0,12.35,12.05,12.25,-1.9200001,-13.454801,253.0,11187.0,0.23780059082031246,True,REGULAR,USD,2022-01-21
181,AAPL220121P00175000,2021-11-19 20:59:28,175.0,16.2,16.0,16.35,-2.6999989,-14.285709,617.0,4727.0,0.24781025634765624,True,REGULAR,USD,2022-01-21
182,AAPL220121P00180000,2021-11-19 20:47:57,180.0,20.44,20.3,20.7,-2.3599987,-10.350872,382.0,2787.0,0.25489026367187506,True,REGULAR,USD,2022-01-21
183,AAPL220121P00185000,2021-11-19 20:11:53,185.0,25.36,24.5,25.65,-2.1399994,-7.7818165,19.0,1512.0,0.2910227148437499,True,REGULAR,USD,2022-01-21
184,AAPL220121P00190000,2021-11-19 20:59:22,190.0,29.86,29.25,30.4,-2.1800003,-6.803996,18.0,1226.0,0.30811238769531246,True,REGULAR,USD,2022-01-21
185,AAPL220121P00195000,2021-11-18 17:41:22,195.0,38.0,34.1,35.3,0.0,0.0,2.0,964.0,0.3325262060546875,True,REGULAR,USD,2022-01-21
186,AAPL220121P00200000,2021-11-19 20:34:22,200.0,39.72,38.8,40.15,-2.0699997,-4.9533377,136.0,1546.0,0.34839518798828123,True,REGULAR,USD,2022-01-21
187,AAPL220121P00205000,2021-11-18 19:31:48,205.0,48.1,43.9,45.1,0.59000015,1.2418442,1.0,227.0,0.37183245361328127,True,REGULAR,USD,2022-01-21
188,AAPL220121P00210000,2021-11-19 18:58:46,210.0,49.5,48.9,50.05,-10.48,-17.47249,13.0,94.0,0.39331661376953125,True,REGULAR,USD,2022-01-21
189,AAPL220121P00215000,2021-11-18 19:45:25,215.0,57.45,53.8,54.95,0.0,0.0,1.0,21.0,0.405279384765625,True,REGULAR,USD,2022-01-21
190,AAPL220121P00220000,2021-11-11 18:55:33,220.0,72.2,58.85,59.95,0.0,0.0,100.0,212.0,0.43018147949218755,True,REGULAR,USD,2022-01-21
191,AAPL220121P00225000,2021-11-17 20:16:41,225.0,71.05,63.65,65.15,0.0,0.0,50.0,32.0,0.48389187988281257,True,REGULAR,USD,2022-01-21
192,AAPL220121P00230000,2021-11-10 11:51:48,230.0,84.7,81.15,81.7,0.0,0.0,20.0,0.0,1.1670573873901366,True,REGULAR,USD,2022-01-21
193,AAPL220121P00235000,2020-08-24 17:00:40,235.0,7.8,7.7,8.45,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
194,AAPL220121P00240000,2021-11-09 20:54:41,240.0,89.2,78.8,80.0,0.0,0.0,11.0,0.0,0.5307664111328125,True,REGULAR,USD,2022-01-21
195,AAPL220121P00245000,2020-08-27 18:01:24,245.0,9.0,8.7,9.4,0.0,0.0,1.0,534.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
196,AAPL220121P00250000,2021-11-19 19:16:30,250.0,89.37,88.75,89.95,-3.1800003,-3.4359808,2.0,39.0,0.5639692041015626,True,REGULAR,USD,2022-01-21
197,AAPL220121P00255000,2020-08-28 14:55:59,255.0,10.1,9.75,10.5,0.5,5.208333,2.0,1040.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
198,AAPL220121P00260000,2021-11-19 20:50:01,260.0,99.3,98.8,99.95,-3.2299957,-3.1502934,11.0,39.0,0.6032754516601564,True,REGULAR,USD,2022-01-21
199,AAPL220121P00265000,2020-08-26 19:59:42,265.0,10.6,11.0,11.75,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
200,AAPL220121P00270000,2020-08-28 19:47:54,270.0,12.05,11.6,12.4,-0.4499998,-3.5999985,41.0,2843.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
201,AAPL220121P00280000,2020-08-28 19:13:01,280.0,13.6,13.0,13.8,0.9000006,7.086619,24.0,2171.0,1.0000000000000003e-05,True,REGULAR,USD,2022-01-21
